Noise Events,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,destinos? El que hace mas ruido es el que va a antofa,se requieren los datos de ruido de los puntos de medicion del los aeropuertos del año 2024,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Jardines del Sur,,,,,,,,,,,,,,,
"terminales (mp2, hay 3 estaciones), la dos es la mas importantes",dia y la hora en la que se registró el evento,nivel maximo de decibeles,,,,,"cuando el viento es mucho , el sensor se bloquea, cuando hay mas viento que 8 metros por segundo.",,,,,,,relacion entre el radar y la aeronave,tipo de aeronave
NMT,TLASmax,LASmax,SEL,Leq,LAZ,EPNL,Temperature [°C],A/D,Runway,Flight,Airline,Airline (Name),From/To,Callsign,Aircraft Type
,,,,,,,,,,,,,,,
MP02,15/01/2024 16:44:26,75.6,78,70.6,65.5,79.9,30.6,Departure,17R,LXP344,LXP,,SCFA,LXP344,A320
MP02,15/01/2024 17:18:00,71.2,77.6,68.3,65.6,81,30.4,Departure,17L,CCCYB,CCC,,SCSE,CCCYB,PAY2
MP02,15/01/2024 17:27:25,68.2,78.3,65.9,68.6,83.5,29.8,Departure,17R,ARG1287,ARG,Aerolineas Argentinas,SABE,ARG1287,B738
MP02,15/01/2024 17:29:56,68.2,77.4,64,69.4,79.9,29.6,Departure,17R,LCO1306,LCO,LAN Cargo,KMIA,LCO1306,B763
MP02,15/01/2024 17:58:35,71.2,81.6,65.5,74.3,83.6,29,Departure,17R,GTI034,GTI,Atlas Air,KMIA,GTI034,B744
MP02,15/01/2024 19:15:05,68.3,80.7,65.3,72.5,81.1,27.2,Departure,17R,LAN104,LAN,LAN Airlines,SCSE,LAN104,A320
MP02,15/01/2024 19:31:14,65.4,75.2,63,67,74.9,26.8,Departure,17R,LAN065,LAN,LAN Airlines,SCTE,LAN065,A321
MP02,15/01/2024 20:24:13,69.3,78,66.2,68,82.7,24.6,Departure,17L,CCACV,CCA,Air China,SCOV,CCACV,BE20
MP02,15/01/2024 20:50:20,73.6,83.5,68.5,74.9,86.8,22.9,Departure,17R,LCO1602,LCO,LAN Cargo,KMIA,LCO1602,B763
MP02,15/01/2024 20:59:43,69.2,74.1,65.3,64,74.5,22.4,Departure,17R,SKU167,SKU,Sky Airline,SCIE,SKU167,A20N
